Şehir	Bölge	Ocak	Şubat	Mart	Nisan	Mayıs	Haziran	Temmuz	Ağustos	Eylül	Ekim	Kasım	Aralık	Ortalama
Adıyaman	Güneydoğu Anadolu	4.5	5.9	10	15.2	20.6	26.8	31.1	30.6	25.7	18.9	11.6	6.5	17.3
Batman	Güneydoğu Anadolu	2.7	5	9.6	14.6	19.8	26.7	31.2	30.2	24.9	17.7	9.8	4.5	16.4
Diyarbakır	Güneydoğu Anadolu	1.6	3.6	8.3	13.8	19.2	26.2	31.1	30.4	24.9	17.2	9.5	3.9	15.8
Gaziantep	Güneydoğu Anadolu	2.9	4.3	8	13.2	18.6	24	27.6	27.3	22.7	16	9.4	4.8	14.9
Kilis	Güneydoğu Anadolu	5.7	7	10.6	15.4	20.7	25.4	28.1	28	24.9	19.6	12.6	7.4	17.1
Mardin	Güneydoğu Anadolu	3.1	4.1	7.9	13.5	19.5	25.7	29.9	29.6	25.1	18.4	10.9	5.3	16.1
Siirt	Güneydoğu Anadolu	2.6	4.2	8.2	13.7	19.3	25.9	30.5	30.1	25	17.9	10.4	4.7	16
Şanlıurfa	Güneydoğu Anadolu	5.5	6.9	10.7	16.1	22.1	28	31.9	31.3	26.8	20.1	12.8	7.4	18.3
Afyonkarahisar	Ege	0.3	1.7	5.3	10.4	15.1	19.1	22.3	22.1	17.7	12.3	6.9	2.3	11.3
Aydın	Ege	8.2	9.3	11.7	15.9	20.9	25.8	28.4	27.6	23.5	18.4	13.4	9.5	17.7
Denizli	Ege	5.9	7.1	10.1	14.7	19.8	24.7	27.5	27	22.4	16.8	11.4	7.6	16.3
İzmir	Ege	8.8	9.5	11.5	15.8	20.7	25.5	28	27.6	23.6	18.7	14.1	10.4	17.8
Kütahya	Ege	0.4	1.8	5	10	14.6	18.3	20.9	20.7	16.6	11.8	6.9	2.4	10.8
Manisa	Ege	6.7	7.9	10.6	15.2	20.4	25.3	28	27.6	23.3	17.8	12.2	8.2	16.9
Muğla	Ege	5.5	6.1	8.4	12.6	17.6	22.8	26.2	26	21.6	16	10.7	7	15
Uşak	Ege	2.2	3.2	6	10.8	15.7	20.2	23.5	23.5	19	13.3	8	4	12.5
Aksaray	İç Anadolu	0.5	2.2	6.5	11.6	16.2	20.4	23.8	23.2	18.6	13	6.9	2.4	12.1
Ankara	İç Anadolu	0.2	1.6	5.7	11.3	16.1	20.1	23.5	23.4	18.7	12.9	7.1	2.4	11.9
Çankırı	İç Anadolu	-0.5	1.2	5.7	11.2	15.8	19.9	23.2	22.7	17.7	11.9	5.6	1.5	11.3
Eskişehir	İç Anadolu	0.1	1.4	5	10.3	15.1	19	21.7	21.5	17.2	12	6.5	2	11
Karaman	İç Anadolu	0.5	1.9	6.1	11.5	16.2	20.4	23.6	23	18.6	12.8	6.7	2.5	12
Kayseri	İç Anadolu	-1.7	0.1	4.8	10.7	15.2	19.3	22.6	22.2	17.3	11.6	5.3	0.5	10.7
Kırıkkale	İç Anadolu	0.4	2.4	6.9	12.2	16.9	21.2	24.6	24.2	19.6	13.6	6.9	2.4	12.6
Kırşehir	İç Anadolu	-0.2	1.3	5.2	10.7	15.5	19.7	23.1	22.9	18.2	12.3	6.3	2	11.4
Konya	İç Anadolu	0.2	1.4	5.5	11	15.8	20.1	23.5	23.1	18.5	12.5	6.3	1.7	11.6
Nevşehir	İç Anadolu	-0.3	0.9	4.9	10.1	14.6	18.6	21.8	21.4	17.1	11.8	6.2	1.8	10.7
Niğde	İç Anadolu	-0.4	1	5	10.6	15.2	19.4	22.7	22.4	17.9	12.2	6.2	1.6	11.2
Sivas	İç Anadolu	3.5	-2.1	2.6	8.8	13.5	17	20	20.1	16	10.7	4.7	-0.8	8.9
Yozgat	İç Anadolu	-1.9	-0.8	2.8	8.3	13.1	16.7	19.5	19.6	15.5	10.3	4.7	0.5	9
Amasya	Karadeniz	2.7	4.6	8.5	13.6	17.9	21.7	24.2	24.1	20.1	14.7	8.6	4.6	13.8
Artvin	Karadeniz	2.8	3.9	7.1	11.9	15.9	18.8	20.8	21	18.1	14	9.1	4.5	12.3
Bartın	Karadeniz	4.1	4.8	7.1	11.3	15.7	19.8	22.1	21.7	17.8	13.6	9.2	5.8	12.8
Bayburt	Karadeniz	-6.4	-5	0.3	7.1	11.8	15.5	19.1	18.9	14.7	9.2	2.6	-3.3	7
Bolu	Karadeniz	0.6	1.9	4.7	9.6	14.1	17.4	19.8	19.8	16	11.8	7	2.8	10.5
Çorum	Karadeniz	-0.3	1.1	4.9	10.5	15.1	18.6	21.3	21.3	17.1	12	6.2	1.7	10.8
Düzce	Karadeniz	1.6	3.6	8.3	13.8	19.2	26.2	31.1	30.4	24.9	17.2	9.5	3.9	15.8
Giresun	Karadeniz	7.2	7.1	8	11.3	15.5	20.1	22.7	23.1	20	16.2	12.6	9.4	14.4
Gümüşhane	Karadeniz	-1.7	-0.5	3.8	9.4	13.7	17.2	20.2	20.3	16.7	11.4	5.1	0.4	9.7
Karabük	Karadeniz	2.9	4.8	8	12.8	17.4	21	24	23.7	19.5	14.2	8.2	4.2	13.4
Kastamonu	Karadeniz	-1	0.7	4.3	9.5	14.2	17.6	20.3	20	15.6	10.7	5.1	0.8	9.8
Ordu	Karadeniz	6.8	6.9	8.1	11.5	15.8	20.4	23	23.2	20	15.9	11.8	8.8	14.4
Rize	Karadeniz	6.7	6.6	7.9	11.6	16	20.2	22.7	23	19.9	16.1	12	8.6	14.3
Samsun	Karadeniz	7	7	7.9	11.2	15.6	20.3	23.2	23.5	20	16.2	12.5	9.2	14.5
Sinop	Karadeniz	7	6.6	7.4	10.5	14.9	19.7	22.7	23.1	19.9	16.2	12.5	9.2	14.1
Tokat	Karadeniz	1.9	3.5	7.4	12.5	16.5	19.9	22.3	22.4	18.8	13.7	7.9	3.8	12.6
Trabzon	Karadeniz	7.3	7.2	8.3	11.7	15.9	20.3	23	23.4	20.3	16.5	12.8	9.4	14.7
Zonguldak	Karadeniz	6.1	6.1	7.4	11.2	15.4	19.6	21.9	21.8	18.6	15	11.6	8.3	13.6
Balıkesir	Marmara	4.8	5.9	8.1	13	17.9	22.4	24.8	24.6	20.7	15.7	10.5	6.6	14.6
Bilecik	Marmara	2.5	3.7	6.4	11.5	16.2	19.9	22.1	22	18.3	13.8	9.1	4.5	12.5
Bursa	Marmara	5.3	6.1	8.3	12.9	17.6	22	24.5	24.2	20.1	15.4	10.9	7.3	14.6
Çanakkale	Marmara	6.2	6.6	8.3	12.5	17.5	22.2	25	24.9	20.9	16	11.8	8.3	15
Edirne	Marmara	2.7	4.5	7.6	12.9	18.1	22.4	24.8	24.4	19.9	14.2	9.1	4.6	13.8
İstanbul	Marmara	6	6.1	7.7	12	16.8	21.4	23.8	23.8	20.1	15.7	11.7	8.2	14.4
Kırklareli	Marmara	3	4.1	6.9	12.1	17.3	21.6	23.9	23.4	19.2	13.9	9	5	13.3
Kocaeli	Marmara	6.2	6.8	8.7	13.1	17.6	21.8	23.8	23.7	20.4	16	11.9	8.3	14.9
Sakarya	Marmara	6.1	6.7	8.5	13	17.4	21.5	23.4	23.2	19.6	15.4	11.5	8.1	14.5
Tekirdağ	Marmara	4.7	5.4	7.3	11.8	16.8	21.3	23.8	23.8	20	15.4	11	7.1	14
Yalova	Marmara	6.5	6.8	8.3	12.4	17	21.4	23.7	23.6	20	15.7	11.8	8.7	14.7
